usage_start_time,usage_end_time,usage_quantity,sku,workspace_id,identity_metadata
2026-02-02T21:00:00,2026-02-02T22:00:00,0.2914,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-02T22:00:00,2026-02-02T23:00:00,0.2425,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-02T23:00:00,2026-02-03T00:00:00,0.0,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T00:00:00,2026-02-03T01:00:00,0.3702,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T01:00:00,2026-02-03T02:00:00,0.2968,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T02:00:00,2026-02-03T03:00:00,0.028,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T03:00:00,2026-02-03T04:00:00,0.1256,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T04:00:00,2026-02-03T05:00:00,0.506,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T05:00:00,2026-02-03T06:00:00,0.5126,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T06:00:00,2026-02-03T07:00:00,0.2709,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T07:00:00,2026-02-03T08:00:00,0.2462,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T08:00:00,2026-02-03T09:00:00,0.0,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T09:00:00,2026-02-03T10:00:00,0.1148,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T10:00:00,2026-02-03T11:00:00,0.232,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T11:00:00,2026-02-03T12:00:00,0.186,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T12:00:00,2026-02-03T13:00:00,0.0855,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T13:00:00,2026-02-03T14:00:00,0.3605,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T14:00:00,2026-02-03T15:00:00,0.0,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T15:00:00,2026-02-03T16:00:00,0.2062,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T16:00:00,2026-02-03T17:00:00,0.1341,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T17:00:00,2026-02-03T18:00:00,0.3005,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T18:00:00,2026-02-03T19:00:00,0.0899,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
2026-02-03T19:00:00,2026-02-03T20:00:00,0.0098,ALL_PURPOSE,123456789,"{""run_as"": {""email"": ""user00@example.com""}, ""actor_type"": ""user""}"
